nama_lengkap,kelas,username,password
Irfan Maulana,9A,9A_Irfan,123
Ahmad Fauzi,9A,9A_Ahmad,123
Bima Pratama,9A,9A_Bima,123
Dimas Saputra,9A,9A_Dimas,123
Fajar Ramadhan,9A,9A_Fajar,123
Rizky Kurniawan,9A,9A_Rizky,123
Ardiansyah Putra,9A,9A_Ardi,123
Ilham Nugraha,9A,9A_Ilham,123
Rafi Akbar,9A,9A_Rafi,123
Yusuf Hidayat,9A,9A_Yusuf,123
Andi Prasetyo,9B,9B_Andi,123
Bagus Setiawan,9B,9B_Bagus,123
Cahyo Prabowo,9B,9B_Cahyo,123
Deni Kurnia,9B,9B_Deni,123
Eko Saputro,9B,9B_Eko,123
Galih Prakoso,9B,9B_Galih,123
Hendra Wijaya,9B,9B_Hendra,123
Joko Santoso,9B,9B_Joko,123
Lukman Hakim,9B,9B_Lukman,123
Nanda Pratama,9B,9B_Nanda,123
Alya Nurfadilah,9C,9C_Alya,123
Aisyah Rahmawati,9C,9C_Aisyah,123
Citra Lestari,9C,9C_Citra,123
Dinda Ayu Permata,9C,9C_Dinda,123
Fitri Handayani,9C,9C_Fitri,123
Ghina Azzahra,9C,9C_Ghina,123
Hana Safitri,9C,9C_Hana,123
Intan Sari,9C,9C_Intan,123
Karina Putri,9C,9C_Karina,123
Nabila Zahra,9C,9C_Nabila,123
Aditya Pratama,9D,9D_Aditya,123
Bayu Firmansyah,9D,9D_Bayu,123
Daffa Alfarizi,9D,9D_Daffa,123
Fikri Ramadhan,9D,9D_Fikri,123
Hafiz Maulana,9D,9D_Hafiz,123
Kevin Pratama,9D,9D_Kevin,123
Muhammad Farhan,9D,9D_Muhammad,123
Rangga Saputra,9D,9D_Rangga,123
Satria Wibowo,9D,9D_Satria,123
Zidan Alamsyah,9D,9D_Zidan,123
